0	0-2 10-12 11-13 12-14 13-15 14-16 14-17 16-19 17-18 18-22 19-23 2-1 20-24 24-25 25-26 27-27 28-29 29-30 30-29 31-31 32-32 33-36 34-34 35-34 35-35 36-33 37-38 5-3 6-4 7-5 8-6 9-10 9-11
1	0-3 1-2 11-10 12-11 12-12 13-16 14-13 16-24 19-18 19-20 20-19 21-17 22-25 23-26 24-27 26-28 27-29 28-30 29-31 3-4 30-32 32-34 33-35 34-36 35-33 35-41 36-37 36-38 38-42 4-4 5-8 7-7 8-5 9-1
2	0-2 11-14 12-12 14-9 15-7 17-15 2-4 3-5 4-3 5-5 6-6 7-6 8-13 9-10
3	0-0 0-1 1-9 10-11 11-10 11-11 12-12 13-16 2-2 3-5 4-6 5-3 5-7 6-4 7-8 8-10 8-11 8-15 9-14
4	0-0 11-4 2-1 3-10 3-12 5-10 5-11 6-8 7-14 8-15 9-16
5	1-1 10-14 11-15 12-16 13-17 14-19 15-21 16-27 17-25 18-20 18-21 18-22 2-21 2-3 2-4 2-5 20-22 21-28 3-2 4-0 5-6 6-10 6-12 8-10 8-11 9-7 9-8
6	1-0 1-1 10-8 10-9 11-9 12-8 13-12 14-12 15-14 16-20 17-17 17-18 18-15 18-16 20-10 21-22 22-21 23-23 24-23 25-23 26-24 27-29 28-25 28-27 29-26 3-4 31-22 34-30 4-5 6-0 6-1 6-2 7-0 7-1 8-6 9-7
7	0-10 0-8 10-7 11-14 2-2 3-1 4-4 4-5 5-5 7-10 7-8 7-9 8-10 8-12 9-13
8	0-0 2-2 3-1 4-3
9	0-2 1-0 10-8 11-12 13-4 14-12 15-15 15-16 15-38 16-17 17-14 19-13 2-3 20-18 21-22 21-27 22-19 22-20 24-23 26-28 27-25 27-26 3-9 33-29 34-33 35-32 36-34 36-39 37-43 38-36 4-11 40-42 41-43 41-49 43-43 44-44 44-45 46-49 46-50 47-52 49-52 5-8 50-51 50-53 8-7
10	0-1 1-0 2-2 5-10 6-6 6-7 7-7 8-3 8-4
11	0-0 1-1 10-14 11-13 12-11 13-15 2-5 2-6 3-4 3-6 4-3 5-10 6-8 7-7 8-12
12	0-1 11-8 13-9 2-2 4-0 5-3 6-4 7-5 8-6 9-7
13	0-6 0-8 0-9 1-4 1-5 10-15 10-16 11-17 12-13 12-14 13-17 13-18 14-28 15-24 16-22 17-20 17-21 18-19 19-26 19-27 2-1 20-27 21-28 22-29 23-35 23-36 23-37 25-33 26-31 28-39 3-1 4-0 5-10 6-11 8-12 9-13
14	0-0 10-15 10-17 11-16 12-14 13-18 13-19 3-4 4-3 5-6 6-11 7-7 7-8 8-13 9-13
15	0-0 0-1 2-2 2-3 3-2 4-5
16	0-0 1-1 12-10 12-8 12-9 16-14 17-13 18-11 19-17 2-3 20-16 20-18 21-15 21-16 22-19 23-20 24-21 25-21 26-22 28-23 29-26 29-27 29-28 29-29 3-6 30-25 33-32 34-31 35-33 5-3 7-7
17	1-1 2-2 3-10 3-12 4-8 5-4 6-5 7-3 8-13
18	0-2 1-1 10-9 11-10 13-12 14-7 15-18 16-14 17-15 18-13 19-19 2-7 3-3 4-3 5-3 6-4 8-8
19	0-0 1-1 10-9 3-2 3-3 5-4 6-6 7-7 8-8
20	0-2 0-3 1-0 2-6 3-5 3-7 5-0 5-1 7-10 8-11 8-12
21	0-0 1-1 2-2 4-2 5-3 5-5 6-3 6-4 7-6 8-7
22	0-0 1-1 1-2 2-1 3-3
23	0-0 0-1 0-4 0-6 1-1 1-2 10-14 11-11 11-12 13-16 14-17 14-18 15-15 16-15 17-19 2-6 3-1 3-4 4-5 5-3 6-7 6-8 7-8 8-10 9-9
24	0-0 10-6 12-10 13-11 14-12 16-13 18-19 19-20 2-1 20-21 20-22 21-17 21-23 22-18 25-16 27-16 28-24 4-2 5-9 7-5 8-4 9-3
25	0-1 1-2 10-17 11-18 12-15 12-18 13-14 14-12 15-19 16-20 17-20 17-23 18-20 19-23 2-3 20-22 23-24 3-6 4-5 5-7 6-16 6-18 9-16
26	0-3 1-2 3-4
27	0-2 1-0 1-1 10-10 11-11 12-17 13-18 14-15 15-14 19-20 2-0 2-1 20-21 4-3 5-4 6-5 7-7 7-8 7-9 8-6 9-16
28	0-2 1-1 10-11 12-16 14-13 15-16 17-17 19-18 2-0 21-19 3-4 4-5 5-6 6-8 7-7 9-10 9-9
29	0-0 1-1 10-7 12-10 12-8 12-9 13-13 14-12 15-11 16-14 2-3 3-2 4-3 4-4 5-3 5-4 8-5 8-6 9-8
